lon,lat,frequency,duration_mean,intensity_mean
-116.0,-89.0,670.0,1.8343284130096436,1.68692147731781
-115.0,-89.0,669.0,1.8295964002609253,1.6937141418457031
-114.0,-89.0,665.0,1.8436089754104614,1.6897350549697876
-113.0,-89.0,670.0,1.853731393814087,1.6899945735931396
-112.0,-89.0,676.0,1.8195266723632812,1.6946420669555664
-111.0,-89.0,662.0,1.879154086112976,1.6954258680343628
-110.0,-89.0,671.0,1.8092399835586548,1.7045763731002808
-109.0,-89.0,671.0,1.8256334066390991,1.6902270317077637
-108.0,-89.0,663.0,1.8190045356750488,1.7048310041427612
-107.0,-89.0,673.0,1.8335809707641602,1.7015411853790283
-106.0,-89.0,657.0,1.8904109001159668,1.6986746788024902
-105.0,-89.0,650.0,1.8569231033325195,1.7016748189926147
-104.0,-89.0,667.0,1.8350824117660522,1.7029057741165161
-103.0,-89.0,650.0,1.873846173286438,1.709486961364746
-102.0,-89.0,670.0,1.8328357934951782,1.706078052520752
-101.0,-89.0,678.0,1.794985294342041,1.6928644180297852
